stressor	Europe	Asia	America	Oceania	Africa	Other
Employment hours: Vulnerable employment	33860.6903505	622053.002422	35596.9735622	792.934307947	56785.1073162	445229.244615
CO2 - combustion - air	517913766430	1.38759117875e+12	372696488665	40850045341.1	88093965994.6	966506341019
CH4 - combustion - air	75336290.2747	318877122.441	68651223.1338	4197269.80674	38734698.3658	178052870.852
N2O - combustion - air	8998636.32933	19979680.8605	14883136.5494	1277673.07723	2501757.4378	15678407.1071
SOx - combustion - air	1034208730.88	4373968008.85	483244126.378	49937920.6711	201919587.13	1919411885.86
NOx - combustion - air	1894075098.42	3660575639.2	1318795636.57	128187196.87	294281019.623	2865124059.44
NH3 - combustion - air	7021714.01197	20372357.0586	15540080.3078	895647.54697	2324705.81621	7757083792.26
CO - combustion - air	1238926391.14	2785069552.21	2465929996.26	165338496.091	382276204.753	2007985902.52
Benzo(a)pyrene - combustion - air	228809.017722	544010.641904	543779.598818	72246.7181626	67259.0542974	511053.483307
Benzo(b)fluoranthene - combustion - air	355738.571232	847892.644864	853482.102783	117068.032468	104276.251171	832640.408662
Benzo(k)fluoranthene - combustion - air	6254.30838563	79333.5274018	3693.01340321	443.568963178	3866.16270028	24211.7610961
Indeno(1,2,3-cd)pyrene - combustion - air	5402.2526082	64258.3921332	3294.28674972	357.009951904	3566.47578429	19248.1961502
PCBs - combustion - air	149.533383838	1019.68274858	18.9794518494	2.8254578288	21.7206281182	168.674963886
PCDD_F - combustion - air	0.0612915201241	0.675783048571	0.0323337454508	0.00423467555596	0.0285089446655	0.198314810064
HCB - combustion - air	0.776573902153	3.87584900838	0.409250233418	0.0322960177447	0.24329287834	0.802530271091
NMVOC - combustion - air	160446360.053	542366085.379	333022048.4	18164913.8626	57772722.1287	432446190.802
PM10 - combustion - air	157100818.486	540893725.705	77663543.786	8676903.62547	30292359.7953	240447528.695
PM2.5 - combustion - air	115915936.182	283483309.506	64769950.1215	6919223.04372	23937628.146	162552521.472
TSP - combustion - air	214647974.719	2649510260.73	77644171.1183	10263999.4781	39978740.7495	410615801.028
As - combustion - air	3925611.37936	2745459.10054	479843.681369	23104.7029684	82143.4988754	2518769.59786
Cd - combustion - air	238675.127506	172972.10924	30188.2734387	1555.65314648	5332.7489947	155625.639217
Cr - combustion - air	26260.823967	72242.300864	11098.5726442	1008.61076604	2988.17404273	34406.2411044
Cu - combustion - air	4005494.92259	2979440.4521	620525.54391	34435.8914076	106405.75408	2756245.85587
Hg - combustion - air	162734.122664	136285.584974	20508.6249998	1144.42708862	3871.13045889	109103.313666
Ni - combustion - air	351625.384735	448732.853553	95552.1043846	5972.46350849	36751.8920765	522765.950379
Pb - combustion - air	55226.2098178	424536.298399	25845.4606574	3150.24208993	11351.0293216	148955.714811
Se - combustion - air	87005.8706623	101205.961502	10209.4301445	1242.56374255	2354.10422252	24805.3157821
Zn - combustion - air	147399.039689	796325.28708	117670.486501	10763.5450369	34668.6586299	389916.838821
As - non combustion - Agglomeration plant - pellets - air	7670.59990395	5990.4538331	2760.91760561	76.4624104371	649.711470052	3047.09176205
As - non combustion - Agglomeration plant - sinter - air	9817.77642012	60718.3286464	4616.79028319	860.202117417	2839.11704895	12959.4078715
As - non combustion - Glass production - air	3.53623440272	82.0547002837	0	0	5.94095696107	0
As - non combustion - Production of coke oven coke - air	19587.2268976	279310.069894	7571.46633211	925.589890756	2635.01714958	4824.36946148
As - non combustion - Production of gascoke - air	0	1823.17986659	0	0	0	0
As - non combustion - Steel production: basic oxygen furnace - air	1103354.51457	979087.469494	1080727.35689	7119.85524471	726105.506403	3319946.82594
As - non combustion - Steel production: electric arc furnace - air	9436.06496571	71156.9225662	12679.6166422	82.0213402873	7770.2938004	34997.4319607
As - non combustion - Steel production: open hearth furnace - air	1665908.78919	272868.747609	87992.4478373	11415.1444757	14458.3412791	67405.4015091
B(a)P - non combustion - Primary aluminium production - air	136168.533241	58964.7157171	33437.267648	10403.0917178	15114.8859617	69343.1267264
B(a)P - non combustion - Production of coke oven coke - air	146904.201732	2094825.52421	56785.9974907	6941.92418066	19762.6286219	36182.7709611
B(a)P - non combustion - Production of gascoke - air	0	13673.8489994	0	0	0	0
B(b)F - non combustion - Primary aluminium production - air	181558.044321	78619.6209562	44583.0235307	13870.7889571	20153.1812822	92457.5023018
B(b)F - non combustion - Production of coke oven coke - air	48968.0672441	698275.174735	18928.6658303	2313.97472689	6587.54287396	12060.9236537
B(b)F - non combustion - Production of gascoke - air	0	4557.94966649	0	0	0	0
B(k)F - non combustion - Primary aluminium production - air	181558.044321	78619.6209562	44583.0235307	13870.7889571	20153.1812822	92457.5023018
B(k)F - non combustion - Production of coke oven coke - air	48968.0672441	698275.174735	18928.6658303	2313.97472689	6587.54287396	12060.9236537
B(k)F - non combustion - Production of gascoke - air	0	4557.94966649	0	0	0	0
CH4 - non combustion - Extraction/production of (natural) gas - air	946382067.133	278259509.774	721259879.203	52064260.7414	744566586.827	2980291448.77
CH4 - non combustion - Extraction/production of crude oil - air	1752678696.37	920443623.232	2031185188.38	80332534.331	4595499115.42	11719251649.3
CH4 - non combustion - Mining of antracite - air	44992623.7093	924783.888354	697674.471582	1798084.5525	6574612.1406	274699001.332
CH4 - non combustion - Mining of bituminous coal - air	448869195.195	4051060540.62	265164316.832	701548617.409	1664026599.09	679191902.024
CH4 - non combustion - Mining of coking coal - air	178308970.711	653961489.517	46143030.536	789649913.891	83187130.1877	174808132.917
CH4 - non combustion - Mining of lignite (brown coal) - air	48092730.3965	13583825.3854	3517397.0492	12523424.642	35864.5470309	7982305.14242
CH4 - non combustion - Mining of sub-bituminous coal - air	13405494.2318	230672521.051	325503660.206	214514879.725	0	84955390.5117
CH4 - non combustion - Oil refinery - air	41306866.4025	5741516.50183	7027133.24111	285504.551673	12404618.9192	39339042.2683
CO - non combustion - Agglomeration plant - sinter - air	2814926423.15	13753000882.6	1282441745.33	238945032.616	788643624.709	3599835519.87
CO - non combustion - Bricks production - air	50975237.043	1673635811.46	347124932.738	4105090.49243	334042489.634	1010663457.71
CO - non combustion - Carbon black production - air	6725361.4877	30380087.7598	11875001.7432	1450299.84726	1956083.94075	8971827.3717
CO - non combustion - Cement production - air	11787345.5894	93969734.4857	13308123.0394	574540.715528	7382449.42435	31768410.8507
CO - non combustion - Chemical wood pulp, dissolving grades - air	470347.783789	230365.774678	359691.993607	0	361616.187921	81517.451146
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	6599279.94908	13530556.2205	13565756.7525	382522.923238	824012.912268	1594222.68447
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	987394.768712	25192.6685274	266498.084749	36651.9939944	0	162706.233728
CO - non combustion - Glass production - air	1622.67776763	37652.5769268	0	0	637.048734304	0
CO - non combustion - Lime production - air	8549538.80721	35739998.673	5234756.89578	406858.492493	2027807.15862	9550500.59297
CO - non combustion - Oil refinery - air	14889526.5074	7497950.94751	11620501.5964	674359.323007	16614478.3731	67537732.314
CO - non combustion - Pig iron production, blast furnace - air	1331401667.34	5356401871.81	552995721.674	71152520.8234	249873176.646	1150584753.92
CO - non combustion - Primary aluminium production - air	1553451132.49	1943779365.87	267856635.053	138606187.281	79496066.1195	381542477.646
CO - non combustion - Production of coke oven coke - air	32432949.1608	270845372.754	19596469.7674	1480943.82521	7892351.52534	14104326.7732
CO - non combustion - Production of gascoke - air	0	1092150.49346	0	0	0	0
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	2600775.41704	59160002.3393	1914491.2143	958630.321799	401292.224875	2053814.43799
CO - non combustion - Steel production: basic oxygen furnace - air	392666905.535	1682231538.76	163178258.935	22434173.8801	66491655.9969	307757935.165
CO - non combustion - Steel production: electric arc furnace - air	213052481.391	444305234.995	135954266.673	5715498.09513	29221384.2374	134848349.826
CO2 - non combustion - Cement production - air	24383216340.2	229363305977	13829024514.8	1204320539.75	13012952851.5	80845583090.5
CO2 - non combustion - Lime production - air	9689477327.76	40505331883.4	5932724489.79	461106292.107	2298181449.49	10823900686.5
Cd - non combustion - Agglomeration plant - pellets - air	42.6144439108	33.2802990728	15.3384311423	0.424791169095	3.60950816696	16.928287567
Cd - non combustion - Agglomeration plant - sinter - air	2181.72809336	13492.9619215	1025.95339626	191.156026093	630.914899768	2879.86841589
Cd - non combustion - Glass production - air	2.41952880186	56.1426896677	0	0	4.06486528916	0
Cd - non combustion - Nickel, unwrought - air	151.868087085	137.400639397	88.1543457481	164.453851589	35.945449853	197.383858544
Cd - non combustion - Production of coke oven coke - air	5876.16806929	83793.0209683	2271.43989963	277.676967227	790.505144875	1447.31083844
Cd - non combustion - Production of gascoke - air	0	546.953959978	0	0	0	0
Cd - non combustion - Refined copper; unwrought, not alloyed - air	742.937000417	2313.07030546	748.158590941	569.836339035	247.37146266	881.104563752
Cd - non combustion - Refined lead, unwrought - air	517.818271255	2588.53648327	488.911745061	236.94611138	127.123881636	388.172244204
Cd - non combustion - Steel production: basic oxygen furnace - air	184811.881191	163997.15114	181021.83228	1192.57575349	121622.672322	556091.093345
Cd - non combustion - Steel production: electric arc furnace - air	125814.199543	948758.967552	169061.55523	1093.6178705	103603.917339	466632.426142
Cd - non combustion - Steel production: open hearth furnace - air	44424.2343784	7276.49993624	2346.46527567	304.403852686	385.555767444	1797.47737358
Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	875.523647789	2283.60567711	886.069686602	460.539238576	109.478895788	1067.20921334
Cd - non combustion - Zinc, unwrought, not alloyed - air	932.493095816	3392.52212087	441.447848945	585.411660027	1007.97126054	613.081313404
Cr - non combustion - Agglomeration plant - pellets - air	894.903322127	698.886280528	322.107053988	8.92061455099	75.7996715062	355.494038906
Cr - non combustion - Agglomeration plant - sinter - air	8726.91237344	53971.8476859	4103.81358507	764.624104371	2523.65959907	11519.4736636
Cr - non combustion - Glass production - air	4.28070480329	99.3293740276	0	0	7.19168474235	0
Cr - non combustion - Pig iron production, blast furnace - air	3120272.14812	12882781.998	1589862.69982	204563.497367	718385.382856	3307931.16752
Cr - non combustion - Steel production: basic oxygen furnace - air	6344288.45879	5629752.94959	6214182.30214	40939.1676571	4175106.66181	19089694.2491
Cr - non combustion - Steel production: electric arc furnace - air	62907.0997715	474379.483775	84530.7776151	546.808935246	51801.9586694	233316.213071
Cr - non combustion - Steel production: open hearth furnace - air	127719.673838	20919.9373167	6746.08766753	875.161076473	1108.4728314	5167.74744903
Cu - non combustion - Agglomeration plant - pellets - air	1534.11998079	1198.09076662	552.183521123	15.2924820874	129.94229401	609.41835241
Cu - non combustion - Agglomeration plant - sinter - air	17999.2567702	111316.935852	8464.11551918	1577.03721527	5205.04792307	23758.9144312
Cu - non combustion - Glass production - air	0.1302823201	3.02306790519	0	0	0.218877361723	0
Cu - non combustion - Pig iron production, blast furnace - air	20349.600966	84018.1434651	10368.6697814	1334.10976544	4685.12206212	21573.464136
Cu - non combustion - Steel production: basic oxygen furnace - air	55167.7257286	48954.3734747	54036.3678447	355.992762236	36305.2753201	165997.341297
Cu - non combustion - Steel production: electric arc furnace - air	12581.4199543	94875.8967552	16906.155523	109.36178705	10360.3917339	46663.2426142
Cu - non combustion - Steel production: open hearth furnace - air	16659.0878919	2728.68747609	879.924478373	114.151444757	144.583412791	674.054015091
HCB - non combustion - Agglomeration plant - pellets - air	13.6366220515	10.6496957033	4.90829796553	0.13593317411	1.15504261343	5.41705202143
HCB - non combustion - Agglomeration plant - sinter - air	17.4538247469	107.943695371	8.20762717011	1.52924820874	5.04731919814	23.0389473271
Hg - non combustion - Agglomeration plant - pellets - air	85.2288878216	66.5605981455	30.6768622845	0.84958233819	7.21901633392	33.8565751339
Hg - non combustion - Agglomeration plant - sinter - air	26726.1691437	165288.783538	12567.9291042	2341.66131964	7728.70752214	35278.3880947
Hg - non combustion - Glass production - air	0.055835280043	1.29560053079	0	0	0.0938045835958	0
Hg - non combustion - Nickel, unwrought - air	316.391848093	286.251332077	183.654886975	342.612190811	74.8863538605	411.216371967
Hg - non combustion - Pig iron production, blast furnace - air	135.66400644	560.120956435	69.1244652093	8.89406510292	31.2341470807	143.82309424
Hg - non combustion - Production of coke oven coke - air	3917.44537953	55862.0139788	1514.29326642	185.117978151	527.003429917	964.873892295
Hg - non combustion - Production of gascoke - air	0	364.635973317	0	0	0	0
Hg - non combustion - Refined copper; unwrought, not alloyed - air	1547.78541753	4818.89646973	1558.66373113	1187.15903966	515.357213875	1835.63450781
Hg - non combustion - Refined lead, unwrought - air	1078.78806511	5392.78434015	1018.56613554	493.63773204	264.841420075	808.692175424
HCB - non combustion - Secondary aluminium production - air	2119.82087574	1868.72365514	1316.28909466	92.6126481451	684.80155677	3197.36062702
Hg - non combustion - Steel production: basic oxygen furnace - air	3861.74080101	3426.80614323	3782.54574912	24.9194933565	2541.3692724	11619.8138908
Hg - non combustion - Steel production: electric arc furnace - air	31453.5498857	237189.741888	42265.3888074	273.404467624	25900.9793347	116658.106536
Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	1824.00759956	4757.51182732	1845.97851375	959.456747035	228.081032892	2223.3525278
Hg - non combustion - Zinc, unwrought, not alloyed - air	1942.69394962	7067.75441848	919.683018635	1219.60762505	2099.94012614	1277.25273626
Indeno - non combustion - Primary aluminium production - air	22694.7555402	9827.45261952	5572.87794134	1733.84861964	2519.14766028	11557.1877877
Indeno - non combustion - Production of coke oven coke - air	58761.6806929	837930.209683	22714.3989963	2776.76967227	7905.05144875	14473.1083844
Indeno - non combustion - Production of gascoke - air	0	5469.53959978	0	0	0	0
NH3 - non combustion - N- fertilizer production - air	6389990.53518	14848400.913	5757419.9855	0	784894.332019	11259059.6641
NMVOC - non combustion - Beef and veal - air	467311.181176	56120.1619089	1257743.63271	198888.469354	312399.393981	40758.7417504
NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air	1722662.96429	1868240.2037	1231546.44203	158472.458962	193095.935146	927438.245855
NMVOC - non combustion - Decorative paint applicatoin - air	54486852.2345	109171344.131	48442169.0122	9081659.17685	3690386.16194	7660119.41447
NMVOC - non combustion - Degreasing - air	37394801.3794	62256502.0096	32454236.0214	5213413.02294	3778609.80475	7702830.92716
NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air	3699337.01164	4351717.36451	2337020.55136	261137.459975	472737.974626	2084107.77029
NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air	860429.036246	789153.863655	471211.55761	53492.9510978	97477.5560896	437292.823435
NMVOC - non combustion - Dry cleaning - air	10546775.067	14105556.4751	6325537.71549	1187908.30979	478838.603024	994251.075366
NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air	37938735.6802	45569161.2902	51681783.0215	6731904.32174	13040410.769	40136105.1779
NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air	249543269.363	229593690.978	198179431.37	24826184.1762	46637593.7827	180723934.12
NMVOC - non combustion - Extraction/production of (natural) gas - air	29757062.4391	7815263.4304	25247175.3746	3488616.2553	16031998.8052	71601238.5286
NMVOC - non combustion - Extraction/production of crude oil - air	80552444.0837	33926027.6723	86516177.5788	5382759.32678	140683841.717	457243377.333
NMVOC - non combustion - Fat, edible and non-edible oil extraction - air	15986983.4368	13218318.754	35220932.1563	1155803.34781	18623204.2381	85724496.4679
NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air	32617.2651798	49946.0160079	34979.6033766	0	56514.6697946	12750.9230128
NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air	379371.929858	914478.549441	105908.225072	2487.89833867	88983.9752947	285502.746108
NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air	164095.916659	108291.12913	38400.8613637	0	38745.3872372	319923.266536
NMVOC - non combustion - Flexography and rotogravure in packaging - air	44138158.3469	70637617.8336	34865642.1851	5983890.4668	3484776.78282	7144257.03605
NMVOC - non combustion - Gasoline distribution - service stations - air	39181121.9473	66357740.97	138710725.11	3779843.29593	21022416.6756	88780304.4317
NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air	30679322.1431	48466999.1661	101584533.041	5926779.91632	15034775.3914	64283135.2156
NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air	16501980.2087	71002626.4908	8945032.41467	92803.7644104	4108768.68544	17252124.7169
NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air	21867910.9133	28333488.9439	12455146.113	2330285.98434	955947.684305	1983493.58355
NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air	38190244.5997	77156296.4771	54632404.5761	6347398.96761	10003334.4057	20135946.8279
NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air	9020499.78766	12494710.4734	5472047.93559	1027626.663	414230.047628	860099.139254
NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air	16495375.8746	20284243.5499	9081657.12595	1668276.3122	743296.067008	1537326.503
NMVOC - non combustion - Industrial paint application, general industry - air	60233825.8802	101905769.411	53273612.4956	8123860.47284	6853430.14884	13925183.2238
NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air	16084065.2639	18043614.5546	11898764.535	1453202.0088	1959998.21516	8989780.6883
NMVOC - non combustion - Leather coating - air	11289458.2972	10899279.549	7803905.94939	915195.707613	1525974.72359	7311645.22577
NMVOC - non combustion - Manufacture of automobiles - air	30914044.424	42678563.2287	29555279.7879	3795339.38408	3650330.99831	22406539.9374
NMVOC - non combustion - Mutton and lamb - air	48023.8868691	7005.31171849	5329.15354128	45383.615236	23724.4111343	121745.98323
NMVOC - non combustion - Oil refinery - air	129349472.221	50699841.5394	121743176.295	3413675.7487	201122632.938	816604405.929
NMVOC - non combustion - Organic chemical industry - downstream units - air	46373243.9691	57076774.623	37956865.0834	4596866.29235	6418217.51967	29401914.9655
NMVOC - non combustion - Organic chemical industry, storage - air	11032556.8505	12173011.4128	8027426.87971	980393.622615	1322300.50526	6064899.16897
NMVOC - non combustion - Other industrial use of solvents - air	60137989.8934	72308488.0717	31667441.4922	5947006.97241	2397202.28184	4977503.75918
NMVOC - non combustion - Pharmaceutical industry - air	20944166.2438	19231287.2533	12686065.3445	1581675.989	2161231.5503	4357622.24472
NMVOC - non combustion - Polystyrene processing - air	12540899.9842	13161234.1621	8993197.59089	1096074.15388	1369643.74041	4685743.02236
NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air	6483599.90896	4661352.67222	9010074.62311	0	20869.8127973	2633884.36097
NMVOC - non combustion - Pork - air	1460058.71586	111665.257028	675938.209254	38250.5384974	22328.5748018	236.615132124
NMVOC - non combustion - Poultry, dressed - air	999372.750068	201613.544927	1409001.86193	0	2966.66073194	123676.149878
NMVOC - non combustion - Printing, offset - air	10049009.4295	14102539.2541	6177927.13334	1160187.68823	467664.589346	971049.57272
NMVOC - non combustion - Products incorporating solvents - air	10566665.7728	11939809.8696	5634800.23229	995183.093759	521049.158498	1071673.15471
NMVOC - non combustion - Raw sugar - air	30984266.6952	106385974.917	85849844.6479	11941780.7967	20816504.2048	44872074.8959
NMVOC - non combustion - Rotogravure in publication - air	6638835.41792	8848278.82545	3935151.92225	739004.315361	297888.137561	618529.081069
NMVOC - non combustion - Screen printing - air	4267068.22908	5052510.14828	3200071.67175	415618.534752	520217.047137	1050096.65268
NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air	7646877.65993	7482637.86878	1059764.0169	0	177217.734429	2349500.80609
NMVOC - non combustion - Synthetic rubber - air	6886022.95912	7484839.27015	4930276.66197	631133.153077	776190.887877	3738674.70037
NMVOC - non combustion - Tyre production - air	8447681.04072	10525623.2881	5310475.98201	541873.94224	636557.54789	3530493.58272
NMVOC - non combustion - Vehicle refinishing - air	13107501.0438	21022248.4278	8685371.05784	1616755.99482	678951.417018	1407438.16703
NMVOC - non combustion - Wire coating - air	1497425.65468	1796021.81866	786566.24385	147713.699498	59542.4924064	123632.86237
NOx - non combustion - Agglomeration plant - pellets - air	53268054.8885	41600373.841	19173038.9278	530988.961369	4511885.20869	21160359.4587
NOx - non combustion - Agglomeration plant - sinter - air	89921555.4411	352651108.051	39460974.9573	4778900.65232	25236595.9907	114561586.006
NOx - non combustion - Bricks production - air	4.52921845376	137.159579062	11.9899782891	0.391394437194	11.0490977341	34.2019025108
NOx - non combustion - Cement production - air	100055187.81	885880045.076	195421628.731	5648552.07834	111980530.896	478939225.257
NOx - non combustion - Chemical wood pulp, dissolving grades - air	379597.199313	129004.833666	221363.625147	0	443582.523851	99994.7400724
NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	3885693.48654	7577111.47448	9782808.36477	214212.836758	1010789.17238	1656796.45808
NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	579798.047925	14107.8943586	163415.502289	20525.1166125	0	150424.254064
NOx - non combustion - Glass production - air	174518.45891	4049522.23438	0	0	68514.3813386	0
NOx - non combustion - Lime production - air	19407996.6286	83393330.3484	19255753.1125	949336.483754	9706436.9455	45183161.3766
NOx - non combustion - Nickel, unwrought - air	48372.1044471	43764.0205232	28078.3889614	52380.8460259	11449.1272529	62869.5126471
NOx - non combustion - Oil refinery - air	49028975.1556	23677344.0114	57394622.8637	2129555.74977	87444623.0166	355429351.602
NOx - non combustion - Pig iron production, blast furnace - air	30755378.5155	123732883.239	12774201.1707	1643623.23102	5772070.38051	26578507.8156
NOx - non combustion - Production of coke oven coke - air	16216474.5804	98533291.1897	3373170.22564	740471.912605	789235.152534	1568934.78559
NOx - non combustion - Production of gascoke - air	0	546075.246732	0	0	0	0
NOx - non combustion - Refined copper; unwrought, not alloyed - air	236635.799342	736745.161919	238298.94877	181500.823766	78791.2619346	280644.095839
NOx - non combustion - Refined lead, unwrought - air	164932.343474	824484.982575	155725.211606	75470.6421081	40490.7298055	123638.275167
NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	1610180.04206	33129601.2707	1257133.1497	536832.979568	492251.795847	2440838.85619
NOx - non combustion - Steel production: basic oxygen furnace - air	3926669.05535	16822315.3876	1631782.58935	224341.738801	664916.559969	3077579.35165
NOx - non combustion - Steel production: electric arc furnace - air	4393772.05984	8886104.69992	2719085.33346	114309.961903	584427.684748	2696966.9965
NOx - non combustion - Sulphuric acid production - air	652688.843773	1557995.34425	330723.271854	103291.878691	139314.353166	638982.970499
NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	278866.496246	727360.266728	282225.556735	146688.172466	34870.5556478	339921.023078
NOx - non combustion - Zinc, unwrought, not alloyed - air	297012.060222	1080565.62455	140607.298525	186461.780792	321052.908684	195274.951412
Ni - non combustion - Agglomeration plant - pellets - air	4687.58883019	3660.832898	1687.22742565	46.7270286004	397.045898365	1862.11163237
Ni - non combustion - Agglomeration plant - sinter - air	49088.8821006	303591.643232	23083.951416	4301.0105871	14195.5852447	64797.0393576
Ni - non combustion - Glass production - air	9.119762407	211.614753363	0	0	15.3214153206	0
Ni - non combustion - Production of coke oven coke - air	58761.6806929	837930.209683	22714.3989963	2776.76967227	7905.05144875	14473.1083844
Ni - non combustion - Production of gascoke - air	0	5469.53959978	0	0	0	0
Ni - non combustion - Steel production: basic oxygen furnace - air	358590.217236	318203.427586	351236.39099	2313.95295454	235984.289581	1078982.71843
Ni - non combustion - Steel production: electric arc furnace - air	440349.6984	3320656.38642	591715.443305	3827.66254674	362613.710685	1633213.4915
Ni - non combustion - Steel production: open hearth furnace - air	555302.929729	90956.2492029	29330.8159457	3805.04815859	4819.44709304	22468.4671697
PAH - non combustion - Agglomeration plant - pellets - air	80.9674434306	63.2325682382	29.1430191704	0.80710322128	6.85806551722	32.1637463772
PAH - non combustion - Agglomeration plant - sinter - air	174538.247469	1079436.95371	82076.2717011	15292.4820874	50473.1919814	230389.473271
PAH - non combustion - Pig iron production, blast furnace - air	3391600.161	14003023.9109	1728111.63023	222351.627573	780853.677018	3595577.35599
PAH - non combustion - Production of coke oven coke - air	176285.042079	2513790.62905	68143.1969889	8330.30901678	23715.1543463	43419.3251533
PAH - non combustion - Production of gascoke - air	0	16408.6187993	0	0	0	0
PAH - non combustion - Steel production: basic oxygen furnace - air	275.838628643	244.771867373	270.181839223	1.77996381118	181.5263766	829.986706485
PAH - non combustion - Steel production: electric arc furnace - air	10065135.9634	75900717.404	13524924.4184	87489.4296397	8288313.38709	37330594.0914
PCB - non combustion - Agglomeration plant - pellets - air	1534.11998079	1198.09076662	552.183521123	15.2924820874	129.94229401	609.41835241
PCB - non combustion - Agglomeration plant - sinter - air	1963.55528403	12143.6657293	923.358056639	172.040423483	567.82340979	2591.8815743
PCB - non combustion - Pig iron production, blast furnace - air	2713.2801288	11202.4191287	1382.48930419	177.881302059	624.682941615	2876.4618848
PCB - non combustion - Steel production: basic oxygen furnace - air	9930.19063112	8811.78722543	9726.54621203	64.0786972026	6534.94955762	29879.5214335
PCB - non combustion - Steel production: electric arc furnace - air	5032.56798172	37950.358702	6762.46220919	43.7447148198	4144.15669355	18665.2970457
PCDD/F - non combustion - Agglomeration plant - pellets - air	0.00242902330292	0.00189697704715	0.00087429057511	2.42130966384e-05	0.000205741965517	0.000964912391316
PCDD/F - non combustion - Agglomeration plant - sinter - air	0.981777642012	6.07183286464	0.461679028319	0.0860202117417	0.283911704895	1.29594078715
