region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
Employment hours: Low-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Low-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - combustion - air	1.10136529809e+12	37940589235	88970719368.1	0	0	0	0	811445459049	33977296530.1	60423710925.9	0	0	0	0	1.9172114636e+12	206676141.838	413500472.328	0	0	0	0	52366162943.8	88521310.2327	157357395.93	0	0	0	0	258537750276	4175667.84617	526308612.424	0	0	0	0	550668128484	173369127.149	845277155.618	0	0	0	0
CH4 - combustion - air	423691285.789	31715425.9246	82364812.4506	0	0	0	0	5692851190.77	110836936.806	222029235.297	0	0	0	0	532032251.881	349464.275999	1047825.83707	0	0	0	0	8722607.0129	98536.5533512	168268.459366	0	0	0	0	3138980570.75	16376.7008118	13616404.9947	0	0	0	0	1032179869.43	49315.894188	1621332.03088	0	0	0	0
N2O - combustion - air	33053593.6416	260687.612195	355404.1481	0	0	0	0	65717217.4422	816002.121328	1966257.66854	0	0	0	0	149778667.903	1303.08829598	4819.38060789	0	0	0	0	3913713.70013	9585.28262446	13961.0503519	0	0	0	0	48397902.5953	89.7363445576	191720.057824	0	0	0	0	37723655.841	5491.06012665	62257.3111394	0	0	0	0
SOx - combustion - air	618617254.714	15274650.6572	16509038.2518	0	0	0	0	2183378183.81	54050072.0746	99146555.5686	0	0	0	0	175887067.783	16122.8850399	43461.1128205	0	0	0	0	2869706.2406	33213.1221668	50068.6935337	0	0	0	0	422727791.584	987.987876082	1574119.53458	0	0	0	0	255572004.856	1178826.88488	2667728.55994	0	0	0	0
NOx - combustion - air	3021042466.95	43671415.0515	121032639.6	0	0	0	0	2002062461.43	47080597.2991	74374571.5883	0	0	0	0	4016644670.19	183405.010847	381084.02307	0	0	0	0	124883693.418	241308.692069	416926.026127	0	0	0	0	893895126.496	4745.0931584	2083052.11359	0	0	0	0	1108346779.78	140218.760421	1087406.16032	0	0	0	0
NH3 - combustion - air	105305199.542	324709.664934	561416.574771	0	0	0	0	171866411.308	1237219.4233	2980879.2981	0	0	0	0	340133335.601	931.206475743	4229.76492635	0	0	0	0	9990271.44562	5925.52943634	8645.78941537	0	0	0	0	96737024.216	150.490106059	326770.063051	0	0	0	0	94140460.1182	12185.908272	76578.9845695	0	0	0	0
CO - combustion - air	15905280047	103311392.921	118649215.5	0	0	0	0	75970427506	734922880.667	1868969105.54	0	0	0	0	28771703381.9	145397.07746	1133954.24151	0	0	0	0	777703476.931	2027795.48043	2933151.25767	0	0	0	0	29695600555.1	50085.3669935	116579010.296	0	0	0	0	15625988155.2	3378448.4946	24780394.9777	0	0	0	0
Benzo(a)pyrene - combustion - air	369404.595289	5055.04408897	5996.37054775	0	0	0	0	2345971.6722	38816.3940299	74632.5432611	0	0	0	0	284426.221124	1.33063002505	38.3027595606	0	0	0	0	7683.48796863	98.7336557117	142.007168926	0	0	0	0	1216272.87474	1.99252015045	5062.90538328	0	0	0	0	511084.72292	963.966526295	2545.56978538	0	0	0	0
Benzo(b)fluoranthene - combustion - air	441471.347276	6929.45867689	8012.23345579	0	0	0	0	2682324.20695	49238.3415931	90759.4848847	0	0	0	0	303010.605147	1.39421729906	40.3869768772	0	0	0	0	8053.13577484	103.43510737	148.769225194	0	0	0	0	1301060.89056	2.09136107904	5398.39230063	0	0	0	0	561150.299742	1377.42184789	3357.5945924	0	0	0	0
Benzo(k)fluoranthene - combustion - air	219648.149815	2896.43026039	3468.11334942	0	0	0	0	1414645.07296	22719.401927	44307.5795718	0	0	0	0	174697.213289	0.824075158242	23.6756539037	0	0	0	0	4754.84480763	61.1207599704	87.9091457994	0	0	0	0	748371.22007	1.23266777891	3121.02648701	0	0	0	0	310422.228433	545.598800807	1478.9275472	0	0	0	0
Indeno(1,2,3-cd)pyrene - combustion - air	222513.590697	2589.07404692	3166.66760161	0	0	0	0	1464156.67217	21481.3582336	43353.6627898	0	0	0	0	188456.547057	0.887416008599	25.4094952992	0	0	0	0	5122.49920843	65.8221224062	94.6710435642	0	0	0	0	799304.297836	1.3268533192	3329.34094547	0	0	0	0	332019.703	463.842825215	1359.38183463	0	0	0	0
PCBs - combustion - air	150.607127475	3.259991544	3.72973605957	0	0	0	0	888.641936442	26.3706846152	42.5362647258	0	0	0	0	77.3586657541	0.00037144964318	0.0109980234185	0	0	0	0	2.15508014668	0.0278063725315	0.0399934807916	0	0	0	0	361.367085593	0.00055866085842	1.52419120875	0	0	0	0	154.252290137	0.704513869431	1.56601652338	0	0	0	0
PCDD_F - combustion - air	1.09881215677	0.0161236613338	0.0198513825702	0	0	0	0	7.38531790903	0.116821489982	0.234029135975	0	0	0	0	0.893884263679	4.80231243149e-06	0.000128515060152	0	0	0	0	0.0255341013134	0.00032927182064	0.000473640513201	0	0	0	0	3.99479440341	6.63189504061e-06	0.0169109154887	0	0	0	0	1.52282439291	0.00274304847406	0.00765557297385	0	0	0	0
HCB - combustion - air	5.18528252722	0.0266790903046	0.0432390010228	0	0	0	0	42.7850717787	0.43091746894	1.02027214736	0	0	0	0	6.70993557189	3.37690080197e-05	0.000957194426912	0	0	0	0	0.215508014668	0.00278063725315	0.00399934807916	0	0	0	0	28.8643861331	5.0221893247e-05	0.122994522918	0	0	0	0	10.2920189709	0.00172107536249	0.0220439683286	0	0	0	0
NMVOC - combustion - air	3056115741.64	8619216.2884	14925749.0805	0	0	0	0	10574757361.1	90053586.6633	230932533.306	0	0	0	0	6842683316.24	15972.8099588	259659.964757	0	0	0	0	191351725.399	874292.876983	1258553.31339	0	0	0	0	8059115202.37	13028.6381774	31399081.5096	0	0	0	0	4357330375.4	283245.969264	5327444.13223	0	0	0	0
PM10 - combustion - air	1019141624.44	9691836.83855	12586477.2467	0	0	0	0	6473142753.76	93883939.0062	196464589.105	0	0	0	0	1110107831.55	4770.30725697	126458.561916	0	0	0	0	32430211.477	326921.015903	470259.386261	0	0	0	0	3880785496.11	6567.03273893	16377375.1561	0	0	0	0	1476678657.9	1713642.12921	5654019.67447	0	0	0	0
PM2.5 - combustion - air	955492372.911	8275025.1015	10088452.6358	0	0	0	0	6154452178.37	77820519.1743	178120475.696	0	0	0	0	1034406077.97	4620.32375188	122178.525076	0	0	0	0	30103530.8799	316699.746502	455558.290639	0	0	0	0	3742024714.81	6341.92202933	15819258.8122	0	0	0	0	1404779231.79	1022524.89314	4288531.99454	0	0	0	0
TSP - combustion - air	1467931751.36	15083484.1371	23176141.1274	0	0	0	0	7350618811.05	289808934.696	454104130.056	0	0	0	0	1091046234.65	6476.12894866	174783.677249	0	0	0	0	26399152.4355	340538.488216	489845.188643	0	0	0	0	5315441018.05	9107.89931578	22579975.4895	0	0	0	0	1969552492.65	3686673.55295	10257071.6726	0	0	0	0
As - combustion - air	7802.92650233	235.527019824	702.896093564	0	0	0	0	21299.5858431	468.845489086	739.956450342	0	0	0	0	2551.51320685	0.0721488676231	0.317684769393	0	0	0	0	39.9458314903	0.498434603351	0.726531906364	0	0	0	0	7040.33658563	0.0110568176703	25.5908266088	0	0	0	0	5327.16263804	10.4269218572	24.2066454849	0	0	0	0
Cd - combustion - air	27605.8616463	1030.34211388	3569.58182208	0	0	0	0	27483.2387786	354.29587845	625.443523939	0	0	0	0	10867.7547747	0.385519264774	1.00736855086	0	0	0	0	222.383378312	0.820743570345	1.23563106192	0	0	0	0	10026.6014303	0.0209078617672	33.7892444042	0	0	0	0	8722.85302302	6.35674957295	18.1776406096	0	0	0	0
Cr - combustion - air	96415.6522794	1608.90557173	4843.23996258	0	0	0	0	185754.364452	1956.1444099	2956.398815	0	0	0	0	96868.1822171	0.497415544831	1.50895278028	0	0	0	0	2383.09712241	1.57067435177	2.32924220743	0	0	0	0	42072.3904196	0.0419760092559	78.6521047947	0	0	0	0	69928.6175312	47.1073289494	103.162664949	0	0	0	0
Cu - combustion - air	851092.556305	1265.47278744	3274.64546019	0	0	0	0	582160.773561	3452.33684573	5648.22707739	0	0	0	0	1959167.8602	0.347015578223	2.1900426204	0	0	0	0	57515.2881687	4.16974393305	6.04012802259	0	0	0	0	226305.952448	0.089977900337	221.094525324	0	0	0	0	431812.843344	92.9451570311	209.165170994	0	0	0	0
Hg - combustion - air	12644.2573271	541.700226761	1704.64162512	0	0	0	0	17523.4831504	813.20156609	1179.15969009	0	0	0	0	1885.89189873	0.175032152618	0.447478976383	0	0	0	0	24.141815436	0.309398550986	0.470177013042	0	0	0	0	4118.28287867	0.00818945773412	16.8947468077	0	0	0	0	2610.62166498	21.084847758	43.646735797	0	0	0	0
Ni - combustion - air	531671.005418	4338.09806084	8878.67494893	0	0	0	0	1912057.31998	4697.61793148	6097.92894708	0	0	0	0	263378.057274	0.748252159298	2.26365885124	0	0	0	0	1521.82388249	2.3800912232	3.52876457578	0	0	0	0	291562.995657	0.13500740679	116.718050525	0	0	0	0	727890.293792	63.1400542423	142.114301701	0	0	0	0
Pb - combustion - air	238943.313364	4506.52036168	9669.9332101	0	0	0	0	787050.430277	20154.0068481	31963.6137532	0	0	0	0	214411.230936	0.973793307585	8.98545323054	0	0	0	0	5738.64043616	19.1181371685	27.6028403383	0	0	0	0	280154.442258	0.398942817681	1056.13818518	0	0	0	0	185702.887866	539.845943503	1185.82065825	0	0	0	0
Se - combustion - air	3996.79317496	44.5986243448	103.335398405	0	0	0	0	8220.84667293	215.498834758	345.369797599	0	0	0	0	6614.13110446	0.010476580928	0.107574611982	0	0	0	0	192.01216656	0.238131282066	0.343571810576	0	0	0	0	3496.39438697	0.0048902014066	12.7327875482	0	0	0	0	2396.56114071	4.98563196768	11.550057161	0	0	0	0
Zn - combustion - air	1193454.04839	30504.2375143	98208.1602737	0	0	0	0	1828222.23641	38252.9109371	65934.6271413	0	0	0	0	1204370.80966	10.8285839421	43.9176880653	0	0	0	0	33596.983498	65.4535422526	95.6062666009	0	0	0	0	849457.812107	1.42611749645	3218.50942312	0	0	0	0	522096.756925	917.266284693	2245.47044585	0	0	0	0
As - non combustion - Agglomeration plant - pellets - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: open hearth furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Extraction/production of (natural) gas - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Extraction/production of crude oil - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of antracite - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of bituminous coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of coking coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of lignite (brown coal) - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of sub-bituminous coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Oil refinery - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Bricks production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Carbon black production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Cement production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Lime production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Oil refinery - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Pig iron production, blast furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - non combustion - Cement production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - non combustion - Lime production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Agglomeration plant - pellets - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Nickel, unwrought - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Refined copper; unwrought, not alloyed - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Refined lead, unwrought - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Steel production: open hearth furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
