	unit
PM2.5 - non combustion - Mining of bituminous coal - air	kg
PM2.5 - non combustion - Mining of coking coal - air	kg
PM2.5 - non combustion - Mining of lignite (brown coal) - air	kg
PM2.5 - non combustion - Mining of sub-bituminous coal - air	kg
PM2.5 - non combustion - Molybdenum ores and concentrates - air	kg
PM2.5 - non combustion - N- fertilizer production - air	kg
PM2.5 - non combustion - Nickel ores and concentrates - air	kg
PM2.5 - non combustion - Nickel, unwrought - air	kg
PM2.5 - non combustion - Oil refinery - air	kg
PM2.5 - non combustion - Pig iron production, blast furnace - air	kg
PM2.5 - non combustion - Platinum ores and concentrates - air	kg
PM2.5 - non combustion - Primary aluminium production - air	kg
PM2.5 - non combustion - Production of coke oven coke - air	kg
PM2.5 - non combustion - Production of gascoke - air	kg
PM2.5 - non combustion - Refined copper; unwrought, not alloyed - air	kg
PM2.5 - non combustion - Refined lead, unwrought - air	kg
PM2.5 - non combustion - Secondary aluminium production - air	kg
PM2.5 - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
PM2.5 - non combustion - Silver ores and concentrates - air	kg
PM2.5 - non combustion - Steel production: basic oxygen furnace - air	kg
PM2.5 - non combustion - Steel production: electric arc furnace - air	kg
PM2.5 - non combustion - Steel production: open hearth furnace - air	kg
PM2.5 - non combustion - Tin ores and concentrates - air	kg
PM2.5 - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
PM2.5 - non combustion - Zinc ores and concentrates - air	kg
PM2.5 - non combustion - Zinc, unwrought, not alloyed - air	kg
Pb - non combustion - Agglomeration plant - pellets - air	kg
Pb - non combustion - Agglomeration plant - sinter - air	kg
Pb - non combustion - Glass production - air	kg
Pb - non combustion - Nickel, unwrought - air	kg
Pb - non combustion - Pig iron production, blast furnace - air	kg
Pb - non combustion - Production of coke oven coke - air	kg
Pb - non combustion - Production of gascoke - air	kg
Pb - non combustion - Refined copper; unwrought, not alloyed - air	kg
Pb - non combustion - Refined lead, unwrought - air	kg
Pb - non combustion - Steel production: basic oxygen furnace - air	kg
Pb - non combustion - Steel production: electric arc furnace - air	kg
Pb - non combustion - Steel production: open hearth furnace - air	kg
Pb - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
Pb - non combustion - Zinc, unwrought, not alloyed - air	kg
SOx - non combustion - Agglomeration plant - sinter - air	kg
SOx - non combustion - Bricks production - air	kg
SOx - non combustion - Cement production - air	kg
SOx - non combustion - Chemical wood pulp, dissolving grades - air	kg
SOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
SOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
SOx - non combustion - Glass production - air	kg
SOx - non combustion - Lime production - air	kg
SOx - non combustion - Nickel, unwrought - air	kg
SOx - non combustion - Oil refinery - air	kg
SOx - non combustion - Pig iron production, blast furnace - air	kg
SOx - non combustion - Production of coke oven coke - air	kg
SOx - non combustion - Production of gascoke - air	kg
SOx - non combustion - Refined copper; unwrought, not alloyed - air	kg
SOx - non combustion - Refined lead, unwrought - air	kg
SOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
SOx - non combustion - Sulphuric acid production - air	kg
SOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
SOx - non combustion - Zinc, unwrought, not alloyed - air	kg
Se - non combustion - Agglomeration plant - pellets - air	kg
Se - non combustion - Agglomeration plant - sinter - air	kg
Se - non combustion - Glass production - air	kg
Se - non combustion - Steel production: basic oxygen furnace - air	kg
TSP - non combustion - Agglomeration plant - pellets - air	kg
TSP - non combustion - Agglomeration plant - sinter - air	kg
TSP - non combustion - Aluminium ores and concentrates (Bauxite) - air	kg
TSP - non combustion - Bricks production - air	kg
TSP - non combustion - Briquettes production - air	kg
TSP - non combustion - Carbon black production - air	kg
TSP - non combustion - Cast iron production (grey iron foundries) - air	kg
TSP - non combustion - Cement production - air	kg
TSP - non combustion - Chemical wood pulp, dissolving grades - air	kg
TSP - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	kg
TSP - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	kg
TSP - non combustion - Chromium ores and concentrates - air	kg
TSP - non combustion - Copper ores and concentrates - air	kg
TSP - non combustion - Fertilizer production (N-fertilizer) - air	kg
TSP - non combustion - Glass production - air	kg
TSP - non combustion - Gold ores and concentrates - air	kg
TSP - non combustion - Iron ores and concentrates - air	kg
TSP - non combustion - Lead ores and concentrates - air	kg
TSP - non combustion - Lime production - air	kg
TSP - non combustion - Mining of antracite - air	kg
TSP - non combustion - Mining of bituminous coal - air	kg
TSP - non combustion - Mining of coking coal - air	kg
TSP - non combustion - Mining of lignite (brown coal) - air	kg
TSP - non combustion - Mining of sub-bituminous coal - air	kg
TSP - non combustion - Molybdenum ores and concentrates - air	kg
TSP - non combustion - N- fertilizer production - air	kg
TSP - non combustion - Nickel ores and concentrates - air	kg
TSP - non combustion - Nickel, unwrought - air	kg
TSP - non combustion - Oil refinery - air	kg
TSP - non combustion - Pig iron production, blast furnace - air	kg
TSP - non combustion - Platinum ores and concentrates - air	kg
TSP - non combustion - Primary aluminium production - air	kg
TSP - non combustion - Production of coke oven coke - air	kg
TSP - non combustion - Production of gascoke - air	kg
TSP - non combustion - Refined copper; unwrought, not alloyed - air	kg
TSP - non combustion - Refined lead, unwrought - air	kg
TSP - non combustion - Secondary aluminium production - air	kg
TSP - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	kg
TSP - non combustion - Silver ores and concentrates - air	kg
TSP - non combustion - Steel production: basic oxygen furnace - air	kg
TSP - non combustion - Steel production: electric arc furnace - air	kg
TSP - non combustion - Steel production: open hearth furnace - air	kg
TSP - non combustion - Tin ores and concentrates - air	kg
TSP - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
TSP - non combustion - Zinc ores and concentrates - air	kg
TSP - non combustion - Zinc, unwrought, not alloyed - air	kg
Zn - non combustion - Agglomeration plant - pellets - air	kg
Zn - non combustion - Agglomeration plant - sinter - air	kg
Zn - non combustion - Glass production - air	kg
Zn - non combustion - Nickel, unwrought - air	kg
Zn - non combustion - Pig iron production, blast furnace - air	kg
Zn - non combustion - Refined copper; unwrought, not alloyed - air	kg
Zn - non combustion - Refined lead, unwrought - air	kg
Zn - non combustion - Steel production: basic oxygen furnace - air	kg
Zn - non combustion - Steel production: electric arc furnace - air	kg
Zn - non combustion - Steel production: open hearth furnace - air	kg
Zn - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	kg
Zn - non combustion - Zinc, unwrought, not alloyed - air	kg
SF6 - air	kg
HFC - air	kg CO2-eq
PFC - air	kg CO2-eq
CH4 - agriculture - air	kg
CO2 - agriculture - peat decay - air	kg
N - agriculture - water	kg
N2O - agriculture - air	kg
NH3 - agriculture - air	kg
NOX - agriculture - air	kg
P - agriculture - soil	kg
P - agriculture - water	kg
Pxx - agriculture - soil	kg
CH4 - waste - air	kg
CO - waste - air	kg
CO2 - waste - biogenic - air	kg
CO2 - waste - fossil - air	kg
Emissions nec - waste - undef	kg
N - waste - water	kg
NH3 - waste - air	kg
NOX - waste - air	kg
P - waste - water	kg
PM2.5 - waste - air	kg
SOx - waste - air	kg
Cropland - Cereal grains nec	km2
Cropland - Crops nec	km2
Cropland - Fodder crops-Cattle	km2
Cropland - Fodder crops-Meat animals nec	km2
Cropland - Fodder crops-Pigs	km2
Cropland - Fodder crops-Poultry	km2
Cropland - Fodder crops-Raw milk	km2
Cropland - Oil seeds	km2
Cropland - Paddy rice	km2
Cropland - Plant-based fibers	km2
Cropland - Sugar cane, sugar beet	km2
Cropland - Vegetables, fruit, nuts	km2
Cropland - Wheat	km2
Forest area - Forestry	km2
Other land Use: Total	km2
Permanent pastures - Grazing-Cattle	km2
Permanent pastures - Grazing-Meat animals nec	km2
Permanent pastures - Grazing-Raw milk	km2
Infrastructure land	km2
Forest area - Marginal use	km2
Energy Inputs from Nature: Total	TJ
Emission Relevant Energy Carrier: Total	TJ
Energy Carrier Supply: Total	TJ
Energy Carrier Use: Total	TJ
Domestic Extraction Used - Crop residues - Feed	kt
Domestic Extraction Used - Crop residues - Straw	kt
Domestic Extraction Used - Fishery - Aquatic plants	kt
Domestic Extraction Used - Fishery - Inland waters fish catch	kt
Domestic Extraction Used - Fishery - Marine fish catch	kt
Domestic Extraction Used - Fishery - Other (e.g. Aquatic mammals)	kt
Domestic Extraction Used - Fodder crops - Alfalfa for Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Beets for Fodder	kt
Domestic Extraction Used - Fodder crops - Cabbage for Fodder	kt
Domestic Extraction Used - Fodder crops - Carrots for Fodder	kt
Domestic Extraction Used - Fodder crops - Clover for Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Forage Products nec	kt
Domestic Extraction Used - Fodder crops - Grasses nec for Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Green Oilseeds for Fodder	kt
Domestic Extraction Used - Fodder crops - Leguminous nec for forage and Silage	kt
Domestic Extraction Used - Fodder crops - Maize for Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Other grasses	kt
Domestic Extraction Used - Fodder crops - Rye Grass, Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Sorghum for Forage and Silage	kt
Domestic Extraction Used - Fodder crops - Swedes for Fodder	kt
Domestic Extraction Used - Fodder crops - Turnips for Fodder	kt
Domestic Extraction Used - Fodder crops - Vegetables and Roots, Fodder	kt
Domestic Extraction Used - Forestry - Coniferous wood - Industrial roundwood	kt
Domestic Extraction Used - Forestry - Coniferous wood - Wood fuel	kt
Domestic Extraction Used - Forestry - Kapok Fruit	kt
Domestic Extraction Used - Forestry - Natural Gums	kt
Domestic Extraction Used - Forestry - Non-coniferous wood - Industrial roundwood	kt
Domestic Extraction Used - Forestry - Non-coniferous wood - Wood fuel	kt
Domestic Extraction Used - Forestry - Raw materials other than wood	kt
Domestic Extraction Used - Fossil Fuel: Total	kt
Domestic Extraction Used - Grazing	kt
Domestic Extraction Used - Metal Ores - Bauxite and aluminium ores	kt
Domestic Extraction Used - Metal Ores - Copper ores	kt
Domestic Extraction Used - Metal Ores - Gold ores	kt
Domestic Extraction Used - Metal Ores - Iron ores	kt
Domestic Extraction Used - Metal Ores - Lead ores	kt
Domestic Extraction Used - Metal Ores - Nickel ores	kt
Domestic Extraction Used - Metal Ores - Other non-ferrous metal ores	kt
Domestic Extraction Used - Metal Ores - PGM ores	kt
Domestic Extraction Used - Metal Ores - Silver ores	kt
Domestic Extraction Used - Metal Ores - Tin ores	kt
Domestic Extraction Used - Metal Ores - Uranium and thorium ores	kt
Domestic Extraction Used - Metal Ores - Zinc ores	kt
Domestic Extraction Used - Non-Metallic Minerals - Building stones	kt
Domestic Extraction Used - Non-Metallic Minerals - Chemical and fertilizer minerals	kt
Domestic Extraction Used - Non-Metallic Minerals - Clays and kaolin	kt
Domestic Extraction Used - Non-Metallic Minerals - Gravel and sand	kt
Domestic Extraction Used - Non-Metallic Minerals - Limestone, gypsum, chalk, dolomite	kt
Domestic Extraction Used - Non-Metallic Minerals - Other minerals	kt
Domestic Extraction Used - Non-Metallic Minerals - Salt	kt
Domestic Extraction Used - Non-Metallic Minerals - Slate	kt
Domestic Extraction Used - Primary Crops - Kapokseed in Shell	kt
Domestic Extraction Used - Primary Crops - Honey	kt
Domestic Extraction Used - Primary Crops - Beeswax	kt
Domestic Extraction Used - Primary Crops - Abaca	kt
Domestic Extraction Used - Primary Crops - Agave Fibres nes	kt
Domestic Extraction Used - Primary Crops - Almonds	kt
Domestic Extraction Used - Primary Crops - Anise, Badian, Fennel	kt
Domestic Extraction Used - Primary Crops - Apples	kt
Domestic Extraction Used - Primary Crops - Apricots	kt
Domestic Extraction Used - Primary Crops - Arecanuts	kt
Domestic Extraction Used - Primary Crops - Artichokes	kt
Domestic Extraction Used - Primary Crops - Asparagus	kt
Domestic Extraction Used - Primary Crops - Avocados	kt
Domestic Extraction Used - Primary Crops - Bambara beans	kt
Domestic Extraction Used - Primary Crops - Bananas	kt
Domestic Extraction Used - Primary Crops - Barley	kt
Domestic Extraction Used - Primary Crops - Beans, dry	kt
Domestic Extraction Used - Primary Crops - Beans, green	kt
Domestic Extraction Used - Primary Crops - Berries nec	kt
Domestic Extraction Used - Primary Crops - Blueberries	kt
