region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
Employment hours: Low-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Low-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Medium-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled male	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: High-skilled female	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Employment hours: Vulnerable employment	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - combustion - air	154595.980109	38488.1611877	28326.4921591	0	0	0	0	159680.90737	41905.8329132	32215.6004026	0	0	0	0	198424.806881	234.53190211	148.669301271	0	0	0	0	112195.57273	2912.22355555	902.720374688	0	0	0	0	370650.321703	75.5295104975	2707.25411951	0	0	0	0	346228.007435	864.474477222	1729.09346147	0	0	0	0
CH4 - combustion - air	59.4725198838	32.1731541268	26.2233039211	0	0	0	0	1120.27202016	136.700521487	118.377455016	0	0	0	0	55.0635122094	0.396564986364	0.376733632669	0	0	0	0	18.6883635251	3.2417106231	0.965314440986	0	0	0	0	4500.17127914	0.296221883887	70.0407852817	0	0	0	0	648.974511181	0.245904980592	3.31658627568	0	0	0	0
N2O - combustion - air	4.63965290536	0.26444994767	0.113153550808	0	0	0	0	12.9322122565	1.00641463699	1.04833301973	0	0	0	0	15.5015781085	0.00147871822048	0.00173275242831	0	0	0	0	8.38521146868	0.315341986829	0.0800910852027	0	0	0	0	69.3852180097	0.00162315165573	0.986179788974	0	0	0	0	23.7184349691	0.0273801997532	0.127353151453	0	0	0	0
SOx - combustion - air	86.833806159	15.4950997977	5.25614658301	0	0	0	0	429.657724538	66.6625517808	52.8611329319	0	0	0	0	18.2037078957	0.0182959235753	0.0156259392864	0	0	0	0	6.14840418184	1.09266386222	0.287231683772	0	0	0	0	606.039898528	0.0178707319181	8.09703944416	0	0	0	0	160.688773184	5.87801168407	5.45708822165	0	0	0	0
NOx - combustion - air	424.056416103	44.3016963016	38.5343643503	0	0	0	0	393.9773732	58.0667635556	39.6536631346	0	0	0	0	415.708938802	0.208124293729	0.137014342732	0	0	0	0	267.565861617	7.93870826532	2.39180126424	0	0	0	0	1281.52471293	0.085829279704	10.7149138026	0	0	0	0	696.8638228	0.69917603904	2.22439098144	0	0	0	0
NH3 - combustion - air	14.7814358796	0.329395989233	0.178743774538	0	0	0	0	33.820861523	1.52592218112	1.58929027768	0	0	0	0	35.2026329446	0.0010567142587	0.00152076294521	0	0	0	0	21.4043604411	0.19494138031	0.0495987507571	0	0	0	0	138.686165204	0.00272206613746	1.68085715955	0	0	0	0	59.1900315994	0.0607628754678	0.156649473637	0	0	0	0
CO - combustion - air	2232.58564805	104.802419347	37.7755299318	0	0	0	0	14949.8979409	906.415712447	996.462497026	0	0	0	0	2977.77255957	0.164993660297	0.407700102031	0	0	0	0	1666.24556972	66.7115494384	16.8267616955	0	0	0	0	42572.8308037	0.905944483966	599.665288429	0	0	0	0	9824.71013546	16.8460356479	50.6906150766	0	0	0	0
Benzo(a)pyrene - combustion - air	0.0518524285851	0.00512800026647	0.00190912408611	0	0	0	0	0.461653806923	0.0478741244487	0.039791203716	0	0	0	0	0.0294371377753	1.50997201711e-06	1.37713131706e-05	0	0	0	0	0.0164620297677	0.00324819500675	0.000814659927382	0	0	0	0	1.74369867387	3.60407190332e-05	0.026042840896	0	0	0	0	0.32134027029	0.00480664852261	0.00520720102555	0	0	0	0
Benzo(b)fluoranthene - combustion - air	0.0619682640632	0.00702946706618	0.00255093439476	0	0	0	0	0.527843194448	0.0607280133043	0.0483894691833	0	0	0	0	0.0313605577427	1.58212956849e-06	1.45206693453e-05	0	0	0	0	0.0172540077359	0.00340286599195	0.000853452168012	0	0	0	0	1.86525425059	3.78285544714e-05	0.0277685362725	0	0	0	0	0.352818585463	0.00686827032847	0.00686827369862	0	0	0	0
Benzo(k)fluoranthene - combustion - air	0.0308314789458	0.0029382325625	0.00110417771484	0	0	0	0	0.278381998859	0.0280209303938	0.0236230985555	0	0	0	0	0.018080562039	9.3514380821e-07	8.51230689818e-06	0	0	0	0	0.0101873520312	0.0020107849336	0.000504312978526	0	0	0	0	1.07289567259	2.22965037875e-05	0.0160541013668	0	0	0	0	0.195175395224	0.00272053188394	0.00302528458844	0	0	0	0
Indeno(1,2,3-cd)pyrene - combustion - air	0.0312336939441	0.00262644047586	0.00100820343619	0	0	0	0	0.288125176297	0.0264939916008	0.0231145067892	0	0	0	0	0.0195046058639	1.00702172302e-06	9.13568947215e-06	0	0	0	0	0.0109750590876	0.00216545298351	0.000543104309863	0	0	0	0	1.14591542169	2.40001325281e-05	0.0171256403127	0	0	0	0	0.208754627792	0.00231287017726	0.00278074265497	0	0	0	0
PCBs - combustion - air	2.1140357812e-05	3.30704089065e-06	1.1874731372e-06	0	0	0	0	0.000174872074463	3.25242328304e-05	2.26787015565e-05	0	0	0	0	8.00635642142e-06	4.21513536002e-10	3.95421182419e-09	0	0	0	0	4.61730319243e-06	9.14789589848e-07	2.29432685715e-07	0	0	0	0	0.000518070673952	1.01050616872e-08	7.84021547699e-06	0	0	0	0	9.69848449434e-05	3.51293375578e-06	3.20343323268e-06	0	0	0	0
PCDD_F - combustion - air	1.54237601844e-07	1.63563636955e-08	6.32028196147e-09	0	0	0	0	1.45332536128e-06	1.44081558564e-07	1.24775340865e-07	0	0	0	0	9.2513953605e-08	5.44956693632e-12	4.62061000511e-11	0	0	0	0	5.47073331318e-08	1.08325684485e-08	2.71715821819e-09	0	0	0	0	5.72710108747e-06	1.19957765929e-10	8.69872628732e-08	0	0	0	0	9.57463176021e-07	1.36777258708e-08	1.56601903706e-08	0	0	0	0
HCB - combustion - air	7.27845552992e-07	2.70641323365e-08	1.37664304857e-08	0	0	0	0	8.41949265635e-06	5.31471226288e-07	5.43969896876e-07	0	0	0	0	6.9445530413e-07	3.83203867307e-11	3.44148159804e-10	0	0	0	0	4.61730319243e-07	9.14789589848e-08	2.29432685715e-08	0	0	0	0	4.13811677194e-05	9.08413971837e-10	6.3266574209e-07	0	0	0	0	6.47102135834e-06	8.58183777419e-09	4.50929984898e-08	0	0	0	0
NMVOC - combustion - air	428.979566747	8.74361185494	4.75205907404	0	0	0	0	2080.96161214	111.067416815	123.124351334	0	0	0	0	708.194240099	0.0181256214112	0.0933577301888	0	0	0	0	409.974976533	28.7629758767	7.22000838864	0	0	0	0	11553.8780669	0.235662102505	161.512258699	0	0	0	0	2739.63524594	1.41235590922	10.8977851278	0	0	0	0
PM10 - combustion - air	143.05444213	9.83171284283	4.0072818515	0	0	0	0	1273.82228457	115.791574463	104.747368192	0	0	0	0	114.892350831	0.00541324811213	0.0454667099507	0	0	0	0	69.4823898844	10.7552303599	2.69776153105	0	0	0	0	5563.65324234	0.118784536143	84.2428098486	0	0	0	0	928.449428792	8.54477327165	11.5658259367	0	0	0	0
PM2.5 - combustion - air	134.12015081	8.39445317955	3.21196092955	0	0	0	0	1211.10851906	95.9797867041	94.9669919411	0	0	0	0	107.057479133	0.00524304986661	0.0439278723219	0	0	0	0	64.4974292252	10.4189653246	2.61342498958	0	0	0	0	5364.72009553	0.114712731983	81.3719414352	0	0	0	0	883.243262416	5.09863945777	8.77259320421	0	0	0	0
TSP - combustion - air	206.05002557	15.301174295	7.3788183864	0	0	0	0	1446.49707308	357.435288689	242.110869572	0	0	0	0	112.919540968	0.00734898003773	0.0628414449537	0	0	0	0	56.5607228138	11.2032255775	2.81012042439	0	0	0	0	7620.43423533	0.164743749341	116.148073999	0	0	0	0	1238.33975456	18.3829453651	20.9817992182	0	0	0	0
As - combustion - air	0.00109527789956	0.000238926228764	0.000223788015028	0	0	0	0	0.00419145508314	0.000578249676526	0.000394516340593	0	0	0	0	0.000264072860472	8.18730745033e-08	1.14219876036e-07	0	0	0	0	8.55847591323e-05	1.63977802516e-05	4.16793345403e-06	0	0	0	0	0.0100933152608	1.99995798771e-07	0.000131635449474	0	0	0	0	0.00334940921772	5.19920009389e-05	4.95169568393e-05	0	0	0	0
Cd - combustion - air	0.00387496795601	0.00104521237432	0.00113648324092	0	0	0	0	0.00540830989524	0.000436970135956	0.000333462449308	0	0	0	0	0.00112477532256	4.37479457781e-07	3.6218768442e-07	0	0	0	0	0.000476460926154	2.7001280848e-05	7.08850911392e-06	0	0	0	0	0.014374547012	3.78181556342e-07	0.000173806905205	0	0	0	0	0.00548442131493	3.16968070052e-05	3.71840636104e-05	0	0	0	0
Cr - combustion - air	0.013533631655	0.00163212586386	0.00154199044134	0	0	0	0	0.036553812869	0.00241260692188	0.00157623822495	0	0	0	0	0.0100255244214	5.64457091327e-07	5.42526479433e-07	0	0	0	0	0.00510583421601	5.16729229752e-05	1.33622851713e-05	0	0	0	0	0.0603167043387	7.59262361984e-07	0.000404574862898	0	0	0	0	0.0439670368742	0.000234892360805	0.000211028877623	0	0	0	0
Cu - combustion - air	0.119465801341	0.00128373653661	0.00104258142016	0	0	0	0	0.114560947406	0.00425793296677	0.00301141759948	0	0	0	0	0.202767149941	3.93786253695e-07	7.87404435831e-07	0	0	0	0	0.123227678601	0.000137178567178	3.46507172383e-05	0	0	0	0	0.324441494475	1.62752091843e-06	0.00113727773089	0	0	0	0	0.271498735086	0.000463454580155	0.000427866915755	0	0	0	0
Hg - combustion - air	0.00177484378491	0.000549518235308	0.00054272369574	0	0	0	0	0.00344837186347	0.00100296057761	0.000628682628141	0	0	0	0	0.000195183339402	1.98622943697e-07	1.60885878504e-07	0	0	0	0	5.17243322274e-05	1.01787665124e-05	2.69728897631e-06	0	0	0	0	0.00590413922999	1.48130971305e-07	8.69040935555e-05	0	0	0	0	0.0016414066667	0.000105135862669	8.92834793646e-05	0	0	0	0
Ni - combustion - air	0.0746293716721	0.00440070702063	0.00282679198404	0	0	0	0	0.376265643479	0.00579379798367	0.00325118135302	0	0	0	0	0.0272587250512	8.49101403857e-07	8.13872298225e-07	0	0	0	0	0.0032605387237	7.83015717496e-05	2.02436476608e-05	0	0	0	0	0.41799666788	2.44201496002e-06	0.000600380490924	0	0	0	0	0.457654970417	0.000314836708706	0.000290708092865	0	0	0	0
Pb - combustion - air	0.033539894333	0.00457156005146	0.00307871274056	0	0	0	0	0.154880313212	0.0248569053385	0.0170417703963	0	0	0	0	0.0221908265725	1.10504093341e-06	3.23061554409e-06	0	0	0	0	0.0122951542414	0.000628959165357	0.000158350652827	0	0	0	0	0.401640897851	7.2160805998e-06	0.00543261954128	0	0	0	0	0.11675914678	0.00269184627889	0.00242570703943	0	0	0	0
Se - combustion - air	0.000561020180358	4.52422874062e-05	3.28999177872e-05	0	0	0	0	0.00161774551997	0.000265785070757	0.00018413790249	0	0	0	0	0.000684539870539	1.18886119647e-08	3.86772046665e-08	0	0	0	0	0.000411389985198	7.83417605458e-06	1.97098631267e-06	0	0	0	0	0.00501257438398	8.84539987571e-08	6.54955870547e-05	0	0	0	0	0.0015068178918	2.48599716671e-05	2.36267219384e-05	0	0	0	0
Zn - combustion - air	0.16752225501	0.0309444854186	0.0312675080263	0	0	0	0	0.359768093256	0.0471791536668	0.0351538091277	0	0	0	0	0.124648245568	1.22880578596e-05	1.57900956227e-05	0	0	0	0	0.0719822227495	0.00215332722754	0.000548469452601	0	0	0	0	1.2178175566	2.57956236912e-05	0.0165555392572	0	0	0	0	0.328263995115	0.00457378603084	0.00459331976504	0	0	0	0
As - non combustion - Agglomeration plant - pellets - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
As - non combustion - Steel production: open hearth furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(a)P - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(b)F - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
B(k)F - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Extraction/production of (natural) gas - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Extraction/production of crude oil - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of antracite - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of bituminous coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of coking coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of lignite (brown coal) - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Mining of sub-bituminous coal - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CH4 - non combustion - Oil refinery - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Bricks production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Carbon black production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Cement production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Lime production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Oil refinery - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Pig iron production, blast furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Primary aluminium production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Steel production: basic oxygen furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO - non combustion - Steel production: electric arc furnace - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - non combustion - Cement production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CO2 - non combustion - Lime production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Agglomeration plant - pellets - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Agglomeration plant - sinter - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Glass production - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Nickel, unwrought - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Production of coke oven coke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cd - non combustion - Production of gascoke - air	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
