stressor	Europe	Asia	America	Oceania	Africa	Other
NOx - combustion - air	16070681740.1	20374570709.7	15318299825.8	630599081.447	2082302170.77	8306435921.65
NH3 - combustion - air	157339893.932	281048335.828	463782506.08	14654608.0419	107503800.425	20624045109.5
CO - combustion - air	25218296256.7	96364221611.9	47508291762.9	1372092556.59	31667851668.9	20808199987.7
Benzo(a)pyrene - combustion - air	1831147.49066	5619244.97851	3118937.3093	193508.583465	1483790.98017	1704927.50063
Benzo(b)fluoranthene - combustion - air	2705322.69777	7762334.25831	4737632.49197	308924.341209	1706052.82712	2501036.72587
Benzo(k)fluoranthene - combustion - air	287148.908944	1949777.00403	220396.888121	6322.28440715	778121.339054	375101.11755
Indeno(1,2,3-cd)pyrene - combustion - air	282577.542859	1931322.53026	233743.625735	6468.30959369	828185.77891	385672.725993
PCBs - combustion - air	1065.78045164	4888.8723985	222.405301466	11.7248526298	432.106416862	546.43486476
PCDD_F - combustion - air	1.58349085711	11.0241385881	1.17953066558	0.0397407026694	4.18394018654	2.01019789246
HCB - combustion - air	10.084989613	60.1589199626	9.88190272628	0.320604912646	30.146925072	12.1343869274
NMVOC - combustion - air	4221689424.35	13804499020.4	9391324983.12	266912551.944	8400458437.51	5474542438.47
PM10 - combustion - air	2158239976.2	9553867695.12	1732713513.79	63866102.3876	4063938740.03	2082754453.74
PM2.5 - combustion - air	1828949884.6	8140528118.59	1556602776.39	55368086.2993	3899572596.06	1826347980.79
TSP - combustion - air	3006101472.86	18670359241.4	1725470198.74	60167250.8036	5551968940.3	2979441762.32
As - combustion - air	30409183.9704	23153341.5021	7019805.30717	165508.40954	358566.646375	7172592.42106
Cd - combustion - air	1876115.90712	1453893.45	446243.042278	10749.9841614	32958.3658053	450726.135569
Cr - combustion - air	269749.285163	529126.004623	204125.192042	6893.22621124	54270.1272578	157202.988719
Cu - combustion - air	31799007.7192	24853329.7247	9985398.71333	269204.704737	686010.377827	8167933.8181
Hg - combustion - air	1265627.82088	1048488.17503	294954.424422	7497.02820828	20456.3503718	309339.827561
Ni - combustion - air	3045163.65655	5138472.92264	1546405.57291	26178.1736259	447890.962727	2209699.12319
Pb - combustion - air	599982.872339	2592790.56917	439975.423588	17587.8149644	329923.273723	539506.188965
Se - combustion - air	532578.824494	403826.110963	114204.796706	8248.47014913	10256.1453498	71753.4796546
Zn - combustion - air	2266950.98392	5297561.35387	2152723.23912	72719.5156712	1005518.99616	1486576.9512
As - non combustion - Agglomeration plant - pellets - air	34625.9076076	21234.3835484	19937.4311334	220.468692224	2150.06460784	5531.30249876
As - non combustion - Agglomeration plant - sinter - air	44105.2148611	215064.931504	33279.5778749	2480.27278752	9395.37835767	23521.9602825
As - non combustion - Glass production - air	17.6122315536	290.537580158	0	0	20.1223620124	0
As - non combustion - Production of coke oven coke - air	92395.034548	989287.891185	55570.3029436	2729.57971447	11512.7324419	9899.6416943
As - non combustion - Production of gascoke - air	0	6455.47744128	0	0	0	0
As - non combustion - Steel production: basic oxygen furnace - air	5013902.41262	3476606.36307	7784891.65375	20529.109214	2402872.38695	6025912.81052
As - non combustion - Steel production: electric arc furnace - air	42780.5164471	252079.660744	91349.2666267	236.497090848	25713.9275861	63518.1127035
As - non combustion - Steel production: open hearth furnace - air	7520045.06212	970131.770814	634708.266871	32913.9764196	47846.419996	122355.901869
B(a)P - non combustion - Primary aluminium production - air	618655.551083	208842.939272	242083.917084	30456.0367945	50165.0474055	127599.77832
B(a)P - non combustion - Production of coke oven coke - air	692962.75911	7419659.18389	416777.272077	20471.8478585	86345.4933145	74247.3127072
B(a)P - non combustion - Production of gascoke - air	0	48416.0808096	0	0	0	0
B(b)F - non combustion - Primary aluminium production - air	824874.068112	278457.252362	322778.556111	40608.0490593	66886.7298741	170133.03776
B(b)F - non combustion - Production of coke oven coke - air	230987.58637	2473219.72796	138925.757359	6823.94928618	28781.8311048	24749.1042357
B(b)F - non combustion - Production of gascoke - air	0	16138.6936032	0	0	0	0
B(k)F - non combustion - Primary aluminium production - air	824874.068112	278457.252362	322778.556111	40608.0490593	66886.7298741	170133.03776
B(k)F - non combustion - Production of coke oven coke - air	230987.58637	2473219.72796	138925.757359	6823.94928618	28781.8311048	24749.1042357
B(k)F - non combustion - Production of gascoke - air	0	16138.6936032	0	0	0	0
CH4 - non combustion - Extraction/production of (natural) gas - air	4245714645.06	1046493307.57	3914177355.16	96058328.2489	1399614476.98	4745006704.2
CH4 - non combustion - Extraction/production of crude oil - air	7695680831.11	3461678342.75	10450141338.8	139070707.733	7446365104.04	16335995317.3
CH4 - non combustion - Mining of antracite - air	195723376.328	3478181.58079	3514939.04154	3089702.53061	10321745.6747	391564224.195
CH4 - non combustion - Mining of bituminous coal - air	1934421296.43	15235008564.2	1350472799.84	1205491997.33	3485839087.15	963324795.923
CH4 - non combustion - Mining of coking coal - air	796930510.243	2459743411.33	233293671.227	1356879093.29	181527607.941	254546242.73
CH4 - non combustion - Mining of lignite (brown coal) - air	206368477.51	52135155.5653	17759680.6103	21519375.5792	70919.2753679	12406062.8397
CH4 - non combustion - Mining of sub-bituminous coal - air	58567798.0504	867961712.933	1641576830.19	368607341.53	0	141940689.861
CH4 - non combustion - Oil refinery - air	184148423.52	20423792.5179	49379419.873	802757.760709	31116049.2685	67855588.7533
CO - non combustion - Agglomeration plant - sinter - air	12693859044.2	48715379218.9	9244327187.48	688964663.2	2609827321.58	6533877856.28
CO - non combustion - Bricks production - air	259638390.181	6292759377.38	1921303734.46	7866328.98958	591806567.693	1492427520.75
CO - non combustion - Carbon black production - air	30787459.4368	107644460.513	85690383.7644	4454022.93886	6477823.20422	16500060.3464
CO - non combustion - Cement production - air	53781932.9599	332886894.075	96475263.2523	1653348.18331	23779383.2547	59965221.7906
CO - non combustion - Chemical wood pulp, dissolving grades - air	2126219.32065	819341.806203	2721200.20996	0	1250482.0987	205887.298568
CO - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	30165508.0826	47929121.5701	99885201.684	1083307.81168	2891249.67383	4078751.8604
CO - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	4462517.02554	89643.7591811	1968673.29217	103798.724196	0	361567.952919
CO - non combustion - Glass production - air	8081.75401448	133319.463105	0	0	2157.72060549	0
CO - non combustion - Lime production - air	39151688.6922	126586613.103	37852245.9944	1170811.27803	6531707.94943	18082543.8718
CO - non combustion - Oil refinery - air	66368587.0204	26618664.2241	81715003.6247	1896107.00382	41676163.6126	115889810.65
CO - non combustion - Pig iron production, blast furnace - air	5995393118.56	18969376694.2	3988587130.64	205158366.375	826895473.328	2088451553.96
CO - non combustion - Primary aluminium production - air	6961450919.88	6883661870.62	1938875134.9	405782747.502	263840821.264	702335566.51
CO - non combustion - Production of coke oven coke - air	151576930.328	959503821.965	144170388.544	4367327.54316	34482709.7096	28934789.3141
CO - non combustion - Production of gascoke - air	0	3867063.80552	0	0	0	0
CO - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	11771274.686	209526338.778	14122935.336	2714848.32159	1434242.88938	4765925.09
CO - non combustion - Steel production: basic oxygen furnace - air	1774255024.11	5958411451.44	1177199796.54	64685810.2981	220038221.373	558631317.055
CO - non combustion - Steel production: electric arc furnace - air	959662903.596	1574025893.77	980653566.723	16479841.3134	96701177.2715	244768623.953
CO2 - non combustion - Cement production - air	111205852388	812583753840	100149928210	3465657215.77	41586375069.1	152242098809
CO2 - non combustion - Lime production - air	44371913910.3	143464828374	42899212184.1	1326919450.2	7402602352.55	20493549748.7
Cd - non combustion - Agglomeration plant - pellets - air	192.366153376	117.968797491	110.763506297	1.22482606791	11.9448033769	30.7294583265
Cd - non combustion - Agglomeration plant - sinter - air	9801.15885803	47792.207001	7395.46174998	551.17173056	2087.86185726	5227.10228502
Cd - non combustion - Glass production - air	12.0504742209	198.788870634	0	0	13.7679319032	0
Cd - non combustion - Nickel, unwrought - air	680.291266216	486.505332961	680.798050192	483.382226489	123.62777525	374.873452181
Cd - non combustion - Production of coke oven coke - air	27718.5103644	296786.367355	16671.0908831	818.873914342	3453.81973258	2969.89250829
Cd - non combustion - Production of gascoke - air	0	1936.64323239	0	0	0	0
Cd - non combustion - Refined copper; unwrought, not alloyed - air	3341.97195858	8195.76432405	5566.53768903	1640.29194095	841.110393876	1641.16485674
Cd - non combustion - Refined lead, unwrought - air	2338.98710693	9165.90190924	3707.89174813	694.19885506	384.431904438	723.904907712
Cd - non combustion - Steel production: basic oxygen furnace - air	839828.654116	582331.565815	1303969.352	3438.62579334	402481.124813	1009340.39576
Cd - non combustion - Steel production: electric arc furnace - air	570406.885962	3361062.14327	1217990.22169	3153.29454463	342852.367815	846908.169381
Cd - non combustion - Steel production: open hearth furnace - air	200534.53499	25870.1805551	16925.5537833	877.706037855	1275.90453323	3262.82404984
Cd - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	3937.70232395	8092.81485769	6556.63450165	1325.67677731	371.69899983	1983.43522741
Cd - non combustion - Zinc, unwrought, not alloyed - air	4231.77503692	12014.3063694	3513.78884321	1715.12459843	2851.81150909	1145.70507073
Cr - non combustion - Agglomeration plant - pellets - air	4039.68922089	2477.34474732	2326.03363223	25.7213474261	250.840870915	645.318624856
Cr - non combustion - Agglomeration plant - sinter - air	39204.6354321	191168.828004	29581.847	2204.68692224	8351.44742904	20908.4091401
Cr - non combustion - Glass production - air	21.3200697753	351.703386507	0	0	24.3586487519	0
Cr - non combustion - Pig iron production, blast furnace - air	14054998.2775	45625264.9438	11467188.0006	589830.303328	2377324.48581	6004298.21763
Cr - non combustion - Steel production: basic oxygen furnace - air	28829938.8726	19990486.5877	44763127.0091	118042.37798	13816516.2249	34648998.6604
Cr - non combustion - Steel production: electric arc furnace - air	285203.442981	1680531.07163	608995.110845	1576.64727231	171426.183907	423454.084691
Cr - non combustion - Steel production: open hearth furnace - air	576536.788097	74376.7690958	48660.9671268	2523.40485883	3668.22553302	9380.61914329
Cu - non combustion - Agglomeration plant - pellets - air	6925.18152152	4246.87670968	3987.48622669	44.0937384448	430.012921568	1106.26049975
Cu - non combustion - Agglomeration plant - sinter - air	80859.5605787	394285.707758	61012.5594373	4547.16677712	17224.8603224	43123.5938515
Cu - non combustion - Glass production - air	0.648871688815	10.7040161111	0	0	0.741350179404	0
Cu - non combustion - Pig iron production, blast furnace - air	91663.0322443	297556.07572	74786.0086996	3846.71936953	15504.2901249	39158.4666367
Cu - non combustion - Steel production: basic oxygen furnace - air	250695.120632	173830.318154	389244.582688	1026.4554607	120143.619347	301295.640526
Cu - non combustion - Steel production: electric arc furnace - air	57040.6885962	336106.214327	121799.022169	315.329454463	34285.2367815	84690.8169381
Cu - non combustion - Steel production: open hearth furnace - air	75200.4506212	9701.31770814	6347.08266871	329.139764196	478.46419996	1223.55901869
HCB - non combustion - Agglomeration plant - pellets - air	61.5571690803	37.7500151973	35.444322015	0.391944341731	3.82233708061	9.83342666448
HCB - non combustion - Agglomeration plant - sinter - air	78.4092708643	382.337656008	59.1636939998	4.40937384448	16.7028948581	41.8168182802
Hg - non combustion - Agglomeration plant - pellets - air	384.732306751	235.937594983	221.527012593	2.44965213582	23.8896067538	61.458916653
Hg - non combustion - Agglomeration plant - sinter - air	120064.196011	585454.535762	90594.4064372	6751.85369936	25576.3077514	64032.0029915
Hg - non combustion - Glass production - air	0.278087866635	4.58743547618	0	0	0.317721505459	0
Hg - non combustion - Nickel, unwrought - air	1417.27347129	1013.552777	1418.32927123	1007.04630519	257.557865104	780.986358709
Hg - non combustion - Pig iron production, blast furnace - air	611.086881628	1983.70717147	498.573391331	25.6447957969	103.361934166	261.056444244
Hg - non combustion - Production of coke oven coke - air	18479.0069096	197857.578237	11114.0605887	545.915942895	2302.54648839	1979.92833886
Hg - non combustion - Production of gascoke - air	0	1291.09548825	0	0	0	0
Hg - non combustion - Refined copper; unwrought, not alloyed - air	6962.44158037	17074.5090085	11596.9535188	3417.27487698	1752.31332058	3419.09345154
Hg - non combustion - Refined lead, unwrought - air	4872.8898061	19095.6289776	7724.77447526	1446.24761471	800.899800912	1508.1352244
HCB - non combustion - Secondary aluminium production - air	9553.85577169	6618.62810484	9521.09644908	271.132303362	2272.79932154	5884.36219915
Hg - non combustion - Steel production: basic oxygen furnace - air	17548.6584442	12168.1222707	27247.1207881	71.851882249	8410.05335431	21090.6948368
Hg - non combustion - Steel production: electric arc furnace - air	142601.72149	840265.535815	304497.555422	788.323636158	85713.0919536	211727.042345
Hg - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	8203.54650823	16860.0309535	13659.6552118	2761.8266194	774.372916312	4132.15672377
Hg - non combustion - Zinc, unwrought, not alloyed - air	8816.19799358	25029.8049363	7320.39342336	3573.17624672	5941.27397728	2386.88556402
Indeno - non combustion - Primary aluminium production - air	103109.258514	34807.1565453	40347.3195139	5076.00613242	8360.84123426	21266.62972
Indeno - non combustion - Production of coke oven coke - air	277185.103644	2967863.67355	166710.908831	8188.73914342	34538.1973258	29698.9250829
Indeno - non combustion - Production of gascoke - air	0	19366.4323239	0	0	0	0
NH3 - non combustion - N- fertilizer production - air	29782410.1702	53120127.7954	42102933.4311	0	2585091.26813	22947541.9415
NMVOC - non combustion - Beef and veal - air	2134043.01559	200257.680568	9110459.41219	616446.259807	1110830.17015	77995.6445321
NMVOC - non combustion - Coil coating (coating of aluminum and steel) - air	7761064.40776	6621812.93782	8895607.25646	461042.009804	670963.177215	1714793.26823
NMVOC - non combustion - Decorative paint applicatoin - air	403854115.951	531786992.968	729865439.316	37262988.0051	55625684.4929	143132602.053
NMVOC - non combustion - Degreasing - air	283745456.429	302613735.214	498083502.956	21391173.4801	56955491.2677	144294155.787
NMVOC - non combustion - Diesel distribution - transport and depots (used in mobile sources) - air	16614839.5408	15439723.2129	16417091.6625	778668.819177	1393862.28016	3649273.19916
NMVOC - non combustion - Diesel distribution - transport and depots (used in stationary sources) - air	3877981.00894	2796879.96285	3320199.00941	159507.154085	287411.411582	766020.708628
NMVOC - non combustion - Dry cleaning - air	82474539.0089	68442744.978	95283965.1187	4874110.80253	7217598.34499	18577157.471
NMVOC - non combustion - Extraction, proc. and distribution of gaseous fuels - air	188308574.083	171670780.506	278430605.554	12420333.3702	24957901.2222	63773112.1173
NMVOC - non combustion - Extraction, proc. and distribution of liquid fuels - air	1092190601.33	864609299.311	1022968962.61	42978788.5127	75569713.356	250411867.591
NMVOC - non combustion - Extraction/production of (natural) gas - air	133506524.981	29390917.1384	136826427.323	6436481.39078	30056096.8282	113126057.896
NMVOC - non combustion - Extraction/production of crude oil - air	349994532.533	127585465.517	444275601.589	9318567.56877	227958535.809	638477840.01
NMVOC - non combustion - Fat, edible and non-edible oil extraction - air	72112781.7955	46996212.7324	254199722.532	3272763.74449	64861311.3888	160329496.954
NMVOC - non combustion - Fish, dried, salted or in brine; smoked fish; edible fish meal - air	152710.086792	177021.030536	249544.878727	0	197747.287563	23879.8518171
NMVOC - non combustion - Fish, fish fillets, other fish meat and fish livers and roes, frozen - air	1719593.58169	3240287.129	760193.365847	7509.7229086	313019.730091	535009.154747
NMVOC - non combustion - Fish, otherwise prepared or preserved; caviar - air	775184.351101	384297.026496	275713.004167	0	136203.84343	599442.967218
NMVOC - non combustion - Flexography and rotogravure in packaging - air	329939521.14	342081513.344	531087164.889	24552522.2149	52526506.8053	133724082.355
NMVOC - non combustion - Gasoline distribution - service stations - air	177106026.909	235356608.418	975383468.49	11235088.7939	61678217.9216	155532552.327
NMVOC - non combustion - Gasoline distribution - transport and depots (used in mobile sources) - air	138673070.248	171794418.215	714924911.336	17616576.5108	44110920.6093	112651834.237
NMVOC - non combustion - Gasoline distribution - transport and depots (used in stationary sources) - air	74936960.912	251485303.14	63775858.8963	275847.02643	12054823.8711	30219200.4247
NMVOC - non combustion - Industrial application of adhesives (use of high performance solvent based adhesives) - air	162010953.949	138618857.158	187707893.144	9561404.69401	14409127.3773	37064399.8821
NMVOC - non combustion - Industrial application of adhesives (use of traditional solvent based adhesives) - air	290598147.317	377224465.396	863845554.574	26044035.2349	150781598.214	377874211.831
NMVOC - non combustion - Industrial paint application, general industry (continuous processes) - air	63487298.2009	61129163.7883	82427526.0182	4216458.60865	6243744.94313	16070585.7368
NMVOC - non combustion - Industrial paint application, general industry (plastic parts) - air	113461815.842	99238701.7627	137189498.987	6845110.45837	11203801.0912	28739917.1484
NMVOC - non combustion - Industrial paint application, general industry - air	469790227.374	503061962.518	822140110.838	33333040.7428	103302669.809	260975738.741
NMVOC - non combustion - Inorganic chemical industry, fertilizers and other - air	74847985.3995	64083111.3257	85861856.8129	4462935.78133	6490785.82667	16533078.2362
NMVOC - non combustion - Leather coating - air	50836790.6034	38700031.1641	56594866.7716	2695499.24926	5373313.53411	13592909.1581
NMVOC - non combustion - Manufacture of automobiles - air	139805684.432	151688259.788	213247893.163	11055546.4636	12547523.3623	41108037.2527
NMVOC - non combustion - Mutton and lamb - air	216290.373495	25390.4799046	38749.1675933	147490.710092	81965.9627673	241381.260356
NMVOC - non combustion - Oil refinery - air	576318958.485	180088053.056	855494015.307	9598287.25587	504500927.942	1401140140.25
NMVOC - non combustion - Organic chemical industry - downstream units - air	213641762.542	202712006.024	273892758.73	14117458.5046	21254751.6559	54073827.7458
NMVOC - non combustion - Organic chemical industry, storage - air	50595454.6881	43233269.2087	57926163.2832	3010891.63905	4378967.95606	11153937.5578
NMVOC - non combustion - Other industrial use of solvents - air	412524091.858	353762291.653	477018638.77	24401185.4182	36133350.805	93002535.7152
NMVOC - non combustion - Pharmaceutical industry - air	147600313.309	94087214.8152	199465128.941	6489780.36483	32576532.3892	81756500.6333
NMVOC - non combustion - Polystyrene processing - air	58484678.4473	46629089.925	65280837.266	3370151.58289	4983171.14763	12714023.8954
NMVOC - non combustion - Polyvinylchloride produceduction by suspension process - air	31060939.8768	16532470.2265	65628977.0216	0	76921.571219	6063208.22116
NMVOC - non combustion - Pork - air	6766981.43219	395488.506226	4837263.12191	140298.579918	78027.6548822	507.688961231
NMVOC - non combustion - Poultry, dressed - air	4735824.62553	744246.0929	10112753.3299	0	10478.7724953	249246.504761
NMVOC - non combustion - Printing, offset - air	80172624.4308	68946018.2644	93060451.1355	4760370.22182	7049170.94145	18143647.2854
NMVOC - non combustion - Products incorporating solvents - air	72976472.2343	58167474.7187	85537768.4137	4083339.28454	7853843.69657	20050210.4443
NMVOC - non combustion - Raw sugar - air	142120127.363	379913579.939	619872297.734	35149360.0249	73265264.3059	90511292.0199
NMVOC - non combustion - Rotogravure in publication - air	49314098.1476	43065681.7654	59276680.5546	3032211.22955	4490107.76298	11556952.1865
NMVOC - non combustion - Screen printing - air	29194452.2513	24707526.8893	50141325.7433	1705325.88524	7841301.17067	19698425.5112
NMVOC - non combustion - Steam cracking (ethylene and propylene production) - air	35291274.3921	26563683.0048	7627291.44296	0	580483.981943	4341702.73235
NMVOC - non combustion - Synthetic rubber - air	31109055.8184	26544891.962	35656291.0949	1849108.29381	2686700.32778	6876155.62408
NMVOC - non combustion - Tyre production - air	55735369.6385	46722445.7917	63447085.7049	3309419.17339	3731584.24069	12239192.3916
NMVOC - non combustion - Vehicle refinishing - air	96088571.7963	104901197.056	130980705.126	6633717.26123	10233925.5709	26303393.9735
NMVOC - non combustion - Wire coating - air	10249811.8346	8786863.22133	11848344.5856	606084.604739	897491.956444	2310027.32583
NOx - non combustion - Agglomeration plant - pellets - air	240457691.72	147460996.864	138454382.871	1531032.58489	14931004.2211	38411822.9082
NOx - non combustion - Agglomeration plant - sinter - air	404337489.863	1249074911.1	284373143.263	13779293.264	83514474.2904	207929591.565
NOx - non combustion - Bricks production - air	23.1855203137	515.777558844	66.1593376331	0.750004759539	19.5751403161	50.4912732391
NOx - non combustion - Cement production - air	456889947.638	3138281729.51	1416928190.84	16254763.2651	360697081.44	903836102.846
NOx - non combustion - Chemical wood pulp, dissolving grades - air	1725263.52173	458831.410927	1667821.71934	0	1533924.70775	252555.086244
NOx - non combustion - Chemical wood pulp, soda and sulphate, other than dissolving grades - air	17769880.664	26840308.0473	72162117.3535	606652.373821	3546599.5999	4238844.23521
NOx - non combustion - Chemical wood pulp, sulphite, other than dissolving grades - air	2622545.02328	50200.5050817	1207258.02204	58127.2854808	0	317744.289192
NOx - non combustion - Glass production - air	869189.979693	14338464.3013	0	0	232062.139717	0
NOx - non combustion - Lime production - air	88808171.5961	295368764.3	139476133.027	2731892.98573	31265108.7596	85515446.2172
NOx - non combustion - Nickel, unwrought - air	216682.259029	154958.735781	216843.676795	153963.982799	39377.1711474	119402.424376
NOx - non combustion - Oil refinery - air	218538378.807	84057537.276	403361088.741	5987706.30792	219348229.54	609887623.287
NOx - non combustion - Pig iron production, blast furnace - air	138493581.039	438192601.634	92136362.7178	4739158.26326	19101285.4338	48243230.8965
NOx - non combustion - Production of coke oven coke - air	75788465.164	349134705.944	24634012.9932	2183663.77158	3448270.97096	3222117.84265
NOx - non combustion - Production of gascoke - air	0	1933531.90276	0	0	0	0
NOx - non combustion - Refined copper; unwrought, not alloyed - air	1064464.69263	2610465.27627	1773019.91269	522455.866894	267905.394774	522733.902751
NOx - non combustion - Refined lead, unwrought - air	745000.02475	2919467.63153	1181015.25055	221112.0201	122446.92477	230573.812298
NOx - non combustion - Semi-chemical wood pulp, pulp of fibers other than wood - air	7299330.47987	117334749.576	9354072.06593	1520315.05828	1759337.94431	5645344.95011
NOx - non combustion - Steel production: basic oxygen furnace - air	17742550.2411	59584114.5144	11771997.9654	646858.102981	2200382.21373	5586313.17055
NOx - non combustion - Steel production: electric arc furnace - air	19780711.9777	31480517.8754	19613071.3344	329596.826268	1934023.54543	4895372.47904
NOx - non combustion - Sulphuric acid production - air	3035994.09147	5522897.81622	2390554.61511	317220.192746	461357.37369	1175151.63152
NOx - non combustion - Unrefined copper; copper anodes for electrolytic refining - air	1254213.12504	2577674.43498	2088379.56034	422246.548081	118391.317016	631751.790821
NOx - non combustion - Zinc, unwrought, not alloyed - air	1347879.38672	3826724.19016	1119190.76741	546291.11229	908341.75125	364923.048751
Ni - non combustion - Agglomeration plant - pellets - air	21160.2768713	12976.567724	12183.9856927	134.73086747	1313.92837146	3380.24041592
Ni - non combustion - Agglomeration plant - sinter - air	220526.074306	1075324.65752	166397.889374	12401.3639376	46976.8917883	117609.801413
Ni - non combustion - Glass production - air	45.421018217	749.281127775	0	0	51.8945125583	0
Ni - non combustion - Production of coke oven coke - air	277185.103644	2967863.67355	166710.908831	8188.73914342	34538.1973258	29698.9250829
Ni - non combustion - Production of gascoke - air	0	19366.4323239	0	0	0	0
Ni - non combustion - Steel production: basic oxygen furnace - air	1629518.28411	1129897.068	2530089.78747	6671.96049455	780933.525758	1958421.66342
Ni - non combustion - Steel production: electric arc furnace - air	1996424.10086	11763717.5014	4262965.77591	11036.5309062	1199983.28735	2964178.59284
Ni - non combustion - Steel production: open hearth furnace - air	2506681.68737	323377.256938	211569.42229	10971.3254732	15948.8066653	40785.300623
PAH - non combustion - Agglomeration plant - pellets - air	365.495691414	224.140715233	210.450661964	2.32716952903	22.6951264161	58.3859708203
PAH - non combustion - Agglomeration plant - sinter - air	784092.708643	3823376.56008	591636.939998	44093.7384448	167028.948581	418168.182802
PAH - non combustion - Pig iron production, blast furnace - air	15277172.0407	49592679.2867	12464334.7833	641119.894922	2584048.35414	6526411.10611
PAH - non combustion - Production of coke oven coke - air	831555.310932	8903591.02066	500132.726492	24566.2174302	103614.591977	89096.7752487
PAH - non combustion - Production of gascoke - air	0	58099.2969715	0	0	0	0
PAH - non combustion - Steel production: basic oxygen furnace - air	1253.47560316	869.151590768	1946.22291344	5.13227730349	600.718096737	1506.47820263
PAH - non combustion - Steel production: electric arc furnace - air	45632550.8769	268884971.461	97439217.7351	252263.563571	27428189.4251	67752653.5504
PCB - non combustion - Agglomeration plant - pellets - air	6925.18152152	4246.87670968	3987.48622669	44.0937384448	430.012921568	1106.26049975
PCB - non combustion - Agglomeration plant - sinter - air	8821.04297223	43012.9863009	6655.91557498	496.054557504	1879.07567153	4704.39205652
PCB - non combustion - Pig iron production, blast furnace - air	12221.7376326	39674.1434294	9971.46782661	512.895915938	2067.23868332	5221.12888489
PCB - non combustion - Steel production: basic oxygen furnace - air	45125.1217136	31289.4572676	70064.0248837	184.761982926	21625.8514825	54233.2152947
PCB - non combustion - Steel production: electric arc furnace - air	22816.2754385	134442.48573	48719.6088675	126.131781785	13714.0947126	33876.3267753
PCDD/F - non combustion - Agglomeration plant - pellets - air	0.0109648707424	0.00672422145701	0.00631351985892	6.98150858709e-05	0.000680853792483	0.00175157912461
PCDD/F - non combustion - Agglomeration plant - sinter - air	4.41052148611	21.5064931504	3.32795778749	0.248027278752	0.939537835767	2.35219602825
PCDD/F - non combustion - Pig iron production, blast furnace - air	0.0122217376326	0.0396741434294	0.00997146782661	0.000512895915938	0.00206723868332	0.00522112888489
